,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
10,Alice In Chains,Rooster,6.238883333333333,0.0307,0.269,0.551,0.000619,10,0.118,-8.456,0,0.0274,144.408,3,https://api.spotify.com/v1/tracks/0wvIGFIgbyz4JNwQhZgTv2,0.202,67
11,Alice In Chains,Would?,3.4462166666666665,0.000332,0.305,0.832,2.4e-05,6,0.091,-7.981,1,0.0398,100.677,4,https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS,0.585,70
12,Alice In Chains,Man in the Box,4.740433333333334,0.00229,0.346,0.765,7.54e-06,8,0.213,-8.558,1,0.0413,106.463,4,https://api.spotify.com/v1/tracks/6gZVQvQZOFpzIy3HblJ20F,0.644,71
13,Alien Ant Farm,Smooth Criminal,3.4877666666666665,0.00434,0.647,0.964,0.0036,9,0.15,-4.225,0,0.06,126.942,4,https://api.spotify.com/v1/tracks/5z6xHjCZr7a7AIcy8sPBKy,0.875,68
14,All That Remains,Whispers (I Hear You),3.6648833333333335,9.81e-05,0.549,0.972,6.21e-05,2,0.125,-3.417,0,0.0753,104.015,3,https://api.spotify.com/v1/tracks/7ePwnO5FmyVbfAslZbL0Vj,0.301,0
15,All That Remains,Hold On,2.9508833333333335,0.000201,0.548,0.946,0.0,1,0.204,-2.416,0,0.0442,125.007,4,https://api.spotify.com/v1/tracks/2Tn8b3FWqmNrG1qCbrLLdT,0.754,0
16,All That Remains,Madness,3.3966666666666665,7.12e-05,0.369,0.872,0.0,4,0.151,-5.133,0,0.0648,172.143,4,https://api.spotify.com/v1/tracks/3oGBi4YADwMYDtnRfYurnz,0.374,52
17,All That Remains,This Probably Won't End Well,3.811516666666667,0.0078,0.496,0.925,0.0,1,0.101,-3.751,0,0.0526,107.494,4,https://api.spotify.com/v1/tracks/18eZmdj1Kpq9b4hgKyLjt2,0.153,0
18,All That Remains,Two Weeks,4.2891,0.00205,0.557,0.941,7.47e-05,1,0.259,-4.797,0,0.0552,111.999,4,https://api.spotify.com/v1/tracks/1ZAtCoDHeYdMIYTaj9FpXB,0.556,2
19,All That Remains,What If I Was Nothing,4.622433333333333,0.00564,0.439,0.783,0.0,4,0.0982,-5.73,1,0.0368,143.96,4,https://api.spotify.com/v1/tracks/28urem2KpSOkljclEk8X8G,0.231,57
20,All That Remains,Stand Up,4.014883333333334,2.39e-05,0.471,0.805,0.0,1,0.084,-4.565,0,0.0281,95.053,4,https://api.spotify.com/v1/tracks/0FQwpBBLaz9xLe1vEEpLVL,0.466,0
21,All That Remains,A Song For The Hopeless,4.256,0.0183,0.237,0.964,9.56e-05,6,0.122,-4.964,1,0.121,93.018,4,https://api.spotify.com/v1/tracks/1LqULtOGXmAwL6FA1xl3DO,0.145,0
22,All That Remains,Forever In Your Hands,3.60955,0.00212,0.388,0.952,5.55e-06,2,0.216,-4.474,1,0.0922,183.99,4,https://api.spotify.com/v1/tracks/3kfCmT756LbYKhX8bu1vN4,0.443,0
23,All That Remains,Believe In Nothing,4.39355,0.000585,0.443,0.823,0.00422,8,0.154,-4.941,1,0.0336,133.808,4,https://api.spotify.com/v1/tracks/5Z4ozGs2Z5Mt9oHFYdOuUG,0.343,0
24,Alter Bridge,Isolation,4.21945,6.53e-06,0.431,0.964,1.62e-06,8,0.0941,-3.34,1,0.0745,96.962,4,https://api.spotify.com/v1/tracks/6JV3DyXgHVMPVVDsvjcM1s,0.34,44
25,Alter Bridge,Metalingus,4.33265,9.05e-06,0.497,0.982,0.0,8,0.0939,-3.272,1,0.108,109.911,4,https://api.spotify.com/v1/tracks/3UULkHdmLDqBDPmBYltoRE,0.183,55
26,The Amity Affliction,This Could Be Heartbreak,3.896,0.101,0.568,0.99,0.0,1,0.356,-2.906,1,0.0826,131.991,4,https://api.spotify.com/v1/tracks/72jhYrzA273qKiEDSHFhOp,0.545,30
27,Anberlin,Paperthin Hymn,3.2848333333333333,0.00111,0.298,0.597,0.0,5,0.0819,-12.107,1,0.0343,180.434,4,https://api.spotify.com/v1/tracks/6VSmHLLvYAAkzrYFT3LloU,0.536,51
28,Anberlin,The Feel Good Drag,3.4442833333333334,0.0013,0.342,0.677,0.00671,5,0.201,-11.906,0,0.0568,188.6,4,https://api.spotify.com/v1/tracks/5sTVykpRs4eiZKn96bZogj,0.501,58
29,Apocalyptica,I'm Not Jesus,3.5686666666666667,0.00199,0.422,0.805,0.0,9,0.135,-3.043,1,0.039,169.019,4,https://api.spotify.com/v1/tracks/0yur8fqnBrZdLHUa2WOPUe,0.449,36
30,Apocalyptica,I Don't Care,3.691333333333333,0.00998,0.311,0.744,0.0,2,0.0799,-4.615,0,0.0436,179.076,4,https://api.spotify.com/v1/tracks/0t9Jd84JnsV8HRMaQzHUom,0.336,53
31,Art Of Dying,Get Through This,2.4684333333333335,0.000249,0.561,0.929,0.00027,2,0.0588,-3.201,1,0.128,133.129,4,https://api.spotify.com/v1/tracks/1fS9dkLwdK7oGuH0aQ7aHd,0.472,47
32,Art Of Dying,Rise Up (Feat. Dan Donegan),3.7315833333333335,2.24e-05,0.476,0.984,0.000406,7,0.0873,-3.409,1,0.088,159.892,4,https://api.spotify.com/v1/tracks/002A9BCNfAJfxm5G2H2Lww,0.441,21
33,Art Of Dying,Die Trying,3.826,0.000198,0.313,0.901,0.0,1,0.576,-3.266,0,0.106,110.819,4,https://api.spotify.com/v1/tracks/5DsD9rUwGiiWZxyDPkm48V,0.427,51
34,As Lions,Aftermath,3.6522,0.000129,0.199,0.949,0.0,2,0.249,-3.826,0,0.0846,193.579,4,https://api.spotify.com/v1/tracks/20e2S9Np3eUKWFMAaE8mFh,0.613,13
35,Audioslave,Cochise,3.7004333333333332,0.000519,0.452,0.873,0.0,9,0.0592,-4.867,1,0.0613,80.473,4,https://api.spotify.com/v1/tracks/1TDk2Jmi4dVZhm2dum3Jim,0.433,68
36,Audioslave,Show Me How to Live,4.6306666666666665,0.000336,0.433,0.854,0.000177,9,0.162,-3.868,1,0.0483,89.4,4,https://api.spotify.com/v1/tracks/1Qdnvn4XlmZANCVy3XjrQo,0.368,72
37,Audioslave,Like a Stone,4.899333333333334,0.00797,0.614,0.568,0.0,7,0.0997,-5.477,0,0.0276,107.849,4,https://api.spotify.com/v1/tracks/3YuaBvuZqcwN3CEAyyoaei,0.516,76
38,Audioslave,Out Of Exile,4.808433333333333,0.0651,0.418,0.934,0.0,0,0.214,-4.04,1,0.0639,165.631,4,https://api.spotify.com/v1/tracks/7lE5HfOza4ji2gIWL7UwK1,0.739,43
39,Audioslave,Be Yourself,4.64955,0.178,0.424,0.845,3.58e-06,11,0.18,-3.467,0,0.0528,116.657,4,https://api.spotify.com/v1/tracks/3zwmW1gM4E8FlHXV5nE16u,0.379,61
40,Asking Alexandria,Alone In A Room,4.097683333333333,0.00251,0.482,0.946,0.0,4,0.0466,-3.231,0,0.0853,135.071,4,https://api.spotify.com/v1/tracks/0hAIs32U2SmJcXymlcyF8h,0.287,68
