,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
152,Red Hot Chili Peppers,The Zephyr Song,3.86555,0.013,0.725,0.803,3.66e-05,2,0.0891,-4.083,1,0.0337,117.391,4,https://api.spotify.com/v1/tracks/1ndGB6rvxKYN9seCYO1dTF,0.403,66
153,Red Hot Chili Peppers,Scar Tissue,3.5984333333333334,0.0779,0.437,0.717,0.00274,0,0.108,-4.803,1,0.039,178.085,4,https://api.spotify.com/v1/tracks/2QOMGq8wVTZbLmh7McrvgF,0.547,62
154,Red Hot Chili Peppers,Otherside,4.256216666666667,0.00316,0.458,0.795,0.000202,0,0.0756,-3.265,1,0.0574,123.229,4,https://api.spotify.com/v1/tracks/3CeYdUfGPCjKMDYyI1PpCh,0.513,63
155,Red Hot Chili Peppers,Californication,5.49555,0.0021,0.592,0.767,0.00165,9,0.127,-2.788,0,0.027,96.483,4,https://api.spotify.com/v1/tracks/34KTEhpPjq6IAgQg2yzJAL,0.328,66
156,Red Hot Chili Peppers,Dark Necessities,5.033333333333333,0.0722,0.7,0.742,0.0199,5,0.11,-6.777,0,0.0716,91.959,4,https://api.spotify.com/v1/tracks/2oaK4JLVnmRGIO9ytBE1bt,0.197,74
157,Red Hot Chili Peppers,Dani California,4.716666666666667,0.017,0.553,0.865,1.05e-05,9,0.267,-4.751,0,0.0409,96.161,4,https://api.spotify.com/v1/tracks/10Nmj3JCNoMeBQ87uw5j8k,0.735,76
158,Red Hot Chili Peppers,Snow (Hey Oh),5.584433333333333,0.127,0.432,0.895,1.16e-05,11,0.141,-3.682,1,0.0504,104.458,4,https://api.spotify.com/v1/tracks/2aibwv5hGXSgw7Yru8IYTO,0.625,79
159,Red Hot Chili Peppers,Tell Me Baby,4.127766666666667,0.00194,0.695,0.993,0.00217,0,0.0877,-3.102,1,0.0614,107.933,4,https://api.spotify.com/v1/tracks/0itNMuBHye9fu392b4e9oa,0.28,65
160,The Red Jumpsuit Apparatus,Face Down,3.2,0.000665,0.545,0.932,0.0,7,0.127,-2.189,0,0.0399,92.956,4,https://api.spotify.com/v1/tracks/4wzjNqjKAKDU82e8uMhzmr,0.465,73
161,Royal Blood,How Did We Get So Dark?,3.2988833333333334,0.00177,0.568,0.871,0.000406,1,0.36,-5.235,1,0.0494,133.064,4,https://api.spotify.com/v1/tracks/51txLjbvSBRvtxjCjAFLkM,0.693,61
162,Royal Blood,Lights Out,3.9404333333333335,0.000127,0.501,0.824,0.000311,0,0.0922,-7.25,1,0.0413,89.972,4,https://api.spotify.com/v1/tracks/1060gzllf4b0UETAXisR5l,0.57,66
163,Royal Blood,I Only Lie When I Love You,2.828666666666667,0.00111,0.65,0.886,0.000129,11,0.334,-4.821,1,0.0483,124.013,4,https://api.spotify.com/v1/tracks/1LbwMX3159t6QxG3u7DRWe,0.88,65
164,Royal Blood,Hole In Your Heart,3.7682166666666665,0.00458,0.596,0.811,1.62e-05,1,0.0971,-5.501,0,0.0587,100.032,4,https://api.spotify.com/v1/tracks/5Q6BEkgHxYuEJmHidFLy9L,0.475,65
