,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
258,Erra,Drift,4.564283333333333,0.00596,0.493,0.963,0.000132,1,0.1,-4.147,1,0.0549,139.982,4,https://api.spotify.com/v1/tracks/48QdDH5IiLzH96HAsKMWms,0.384,48
259,Erra,Sleeper,3.3011333333333335,0.00169,0.488,0.97,0.00136,1,0.382,-3.34,1,0.109,125.053,4,https://api.spotify.com/v1/tracks/3vaeTFFlgIsgBjzAu9MHPO,0.304,41
260,Erra,Continuum,4.25885,0.000171,0.476,0.978,6.97e-06,6,0.288,-3.643,1,0.117,119.997,4,https://api.spotify.com/v1/tracks/0dCPpei0tYMBN1yvdFSnae,0.28,41
261,Erra,Safehaven,6.368,0.0455,0.463,0.967,7.15e-06,0,0.351,-3.927,1,0.073,125.039,4,https://api.spotify.com/v1/tracks/4Hk2SfFH6tv3Sd8NZt8Als,0.341,40
262,Erra,The Hypnotist,5.91845,0.00213,0.453,0.972,0.0001,8,0.0879,-4.247,0,0.0981,128.009,4,https://api.spotify.com/v1/tracks/3AviPVI6QESdMi0QbqYiox,0.187,46
263,Escape the Fate,Situations,3.1313333333333335,0.0261,0.503,0.881,0.0,0,0.482,-4.502,0,0.0827,101.038,4,https://api.spotify.com/v1/tracks/1Fu9o08qEKVEwzU8siVcig,0.597,60
264,Escape the Fate,Not Good Enough For Truth In Cliche',3.858433333333333,0.007,0.372,0.904,1.34e-06,5,0.112,-4.438,1,0.106,159.081,4,https://api.spotify.com/v1/tracks/50NQdrO55nqwZrDwKny5NH,0.362,60
265,Escape the Fate,This War Is Ours (The Guillotine II),4.4381,0.00838,0.399,0.955,0.0,4,0.0802,-5.593,0,0.163,95.498,4,https://api.spotify.com/v1/tracks/13EHiO7jbAati2fkGlCS4a,0.152,0
266,Escape the Fate,The Guillotine,4.530983333333333,0.0127,0.442,0.947,2.58e-06,4,0.406,-4.817,0,0.181,100.044,4,https://api.spotify.com/v1/tracks/53h5MHVgsbvlV8AJxr6qvi,0.0925,0
267,Feed Her to the Sharks,The World Is Yours,3.892,2.36e-06,0.422,0.944,0.604,8,0.0784,-5.127,1,0.0765,100.027,4,https://api.spotify.com/v1/tracks/2tzHZZRc7C2EobxCFXhJIt,0.0946,42
268,Feed Her to the Sharks,Chasing Glory,3.7431,6.27e-06,0.464,0.97,0.0417,8,0.214,-4.832,1,0.0723,102.497,4,https://api.spotify.com/v1/tracks/5QkPqeTDJ6R1g1bKmWM9Ee,0.148,45
269,Fit For A King,Warpath,3.2551,3e-05,0.426,0.98,0.0,6,0.375,-4.098,1,0.0997,100.058,4,https://api.spotify.com/v1/tracks/1pVaLwl0noSte1Yq9D2G4a,0.432,37
270,Fit For A King,Hollow King (Sound of the End),3.5942166666666666,1.93e-05,0.373,0.988,0.0,6,0.422,-4.005,1,0.174,139.471,4,https://api.spotify.com/v1/tracks/3ahND6eWbmj1XNuvhokmb4,0.288,40
271,Fit For A King,Bitter End,3.291333333333333,0.000268,0.436,0.995,0.0,3,0.102,-3.856,0,0.158,138.594,4,https://api.spotify.com/v1/tracks/3tlvBC4afBJ4nIzAiz6MeF,0.189,37
